ID,Constraint type,Instructors,Slots,Courses,Week,Rooms,Group,Days,Departement,Module
12278,Problème de dépendance,PSE MB,CM_w_s18_8h TD_tu_s18_14h15,CM-AMN-PSE-CE TD-AMN-MB-3 (44290),18,,CE 3,Mercredi Mardi,,AMN,
12282,Problème de dépendance,PSE MB,CM_w_s18_8h TD_tu_s18_8h,CM-AMN-PSE-CE TD-AMN-MB-3 (44290),18,,CE 3,Mercredi Mardi,,AMN,
12290,Problème de dépendance,PSE MB,CM_m_s18_8h TD_m_s18_8h,CM-AMN-PSE-CE TD-AMN-MB-3 (44290),18,,CE 3,Lundi,,AMN,
12338,Problème de dépendance,PSE MB,CM_w_s18_17h15 TD_m_s18_8h,CM-AMN-PSE-CE TD-AMN-MB-3 (44290),18,,CE 3,Mercredi Lundi,,AMN,
12343,Problème de dépendance,PSE MB,CM_w_s18_17h15 TD_m_s18_11h,CM-AMN-PSE-CE TD-AMN-MB-3 (44290),18,,CE 3,Mercredi Lundi,,AMN,
12347,Problème de dépendance,PSE MB,CM_w_s18_17h15 TD_w_s18_15h45,CM-AMN-PSE-CE TD-AMN-MB-3 (44290),18,,CE 3,Mercredi,,AMN,
12359,Problème de dépendance,PSE MB,CM_th_s18_9h30 TD_m_s18_8h,CM-AMN-PSE-CE TD-AMN-MB-3 (44290),18,,CE 3,Jeudi Lundi,,AMN,
12368,Problème de dépendance,PSE MB,CM_th_s18_9h30 TD_w_s18_15h45,CM-AMN-PSE-CE TD-AMN-MB-3 (44290),18,,CE 3,Jeudi Mercredi,,AMN,
12394,Problème de dépendance,PSE MB,CM_th_s18_17h15 TD_w_s18_17h15,CM-AMN-PSE-CE TD-AMN-MB-3 (44290),18,,CE 3,Jeudi Mercredi,,AMN,
12405,Problème de dépendance,PSE MB,CM_th_s18_17h15 TD_m_s18_9h30,CM-AMN-PSE-CE TD-AMN-MB-3 (44290),18,,CE 3,Jeudi Lundi,,AMN,
12427,Problème de dépendance,PSE MB,CM_tu_s18_9h30 TD_m_s18_8h,CM-AMN-PSE-CE TD-AMN-MB-3 (44290),18,,CE 3,Mardi Lundi,,AMN,
12443,Problème de dépendance,PSE MB,CM_th_s18_15h45 TD_tu_s18_8h,CM-AMN-PSE-CE TD-AMN-MB-3 (44290),18,,CE 3,Jeudi Mardi,,AMN,
12483,Problème de dépendance,PSE MB,CM_w_s18_15h45 TD_tu_s18_9h30,CM-AMN-PSE-CE TD-AMN-MB-3 (44290),18,,CE 3,Mercredi Mardi,,AMN,
12564,Problème de dépendance,PSE MB,CM_th_s18_8h TD_w_s18_8h,CM-AMN-PSE-CE TD-AMN-MB-3 (44290),18,,CE 3,Jeudi Mercredi,,AMN,
12686,Problème de dépendance,PSE MB,CM_m_s18_11h TD_m_s18_11h,CM-AMN-PSE-CE TD-AMN-MB-3 (44289),18,,CE 3,Lundi,,AMN,
12773,Problème de dépendance,PSE MB,CM_w_s18_15h45 TD_tu_s18_8h,CM-AMN-PSE-CE TD-AMN-MB-3 (44289),18,,CE 3,Mercredi Mardi,,AMN,
12796,Problème de dépendance,PSE MB,CM_w_s18_11h TD_w_s18_9h30,CM-AMN-PSE-CE TD-AMN-MB-3 (44289),18,,CE 3,Mercredi,,AMN,
12831,Problème de dépendance,PSE MB,CM_tu_s18_17h15 TD_m_s18_11h,CM-AMN-PSE-CE TD-AMN-MB-3 (44289),18,,CE 3,Mardi Lundi,,AMN,
12853,Problème de dépendance,PSE MB,CM_m_s18_15h45 TD_m_s18_14h15,CM-AMN-PSE-CE TD-AMN-MB-3 (44289),18,,CE 3,Lundi,,AMN,
15825,Problème de dépendance,MB,TD_th_s18_17h15 TD_m_s18_15h45,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Jeudi Lundi,,AMN,
15830,Problème de dépendance,MB,TD_th_s18_17h15 TD_w_s18_11h,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Jeudi Mercredi,,AMN,
15833,Problème de dépendance,MB,TD_th_s18_17h15 TD_th_s18_11h,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Jeudi,,AMN,
15834,Problème de dépendance,MB,TD_th_s18_17h15 TD_m_s18_9h30,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Jeudi Lundi,,AMN,
15835,Problème de dépendance,MB,TD_th_s18_17h15 TD_w_s18_15h45,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Jeudi Mercredi,,AMN,
15838,Problème de dépendance,MB,TD_th_s18_17h15 TD_w_s18_9h30,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Jeudi Mercredi,,AMN,
15839,Problème de dépendance,MB,TD_th_s18_17h15 TD_m_s18_17h15,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Jeudi Lundi,,AMN,
15891,Problème de dépendance,MB,TD_m_s18_15h45 TD_m_s18_15h45,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Lundi,,AMN,
15893,Problème de dépendance,MB,TD_m_s18_15h45 TD_m_s18_9h30,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Lundi,,AMN,
15896,Problème de dépendance,MB,TD_w_s18_8h TD_w_s18_14h15,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Mercredi,,AMN,
15899,Problème de dépendance,MB,TD_w_s18_8h TD_m_s18_8h,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Mercredi Lundi,,AMN,
15900,Problème de dépendance,MB,TD_w_s18_8h TD_m_s18_15h45,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Mercredi Lundi,,AMN,
15901,Problème de dépendance,MB,TD_w_s18_8h TD_w_s18_8h,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Mercredi,,AMN,
15904,Problème de dépendance,MB,TD_w_s18_8h TD_m_s18_11h,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Mercredi Lundi,,AMN,
15905,Problème de dépendance,MB,TD_w_s18_8h TD_w_s18_11h,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Mercredi,,AMN,
15922,Problème de dépendance,MB,TD_tu_s18_8h TD_tu_s18_15h45,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Mardi,,AMN,
15924,Problème de dépendance,MB,TD_tu_s18_8h TD_tu_s18_9h30,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Mardi,,AMN,
15928,Problème de dépendance,MB,TD_tu_s18_17h15 TD_m_s18_15h45,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Mardi Lundi,,AMN,
15932,Problème de dépendance,MB,TD_tu_s18_17h15 TD_tu_s18_11h,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Mardi,,AMN,
15933,Problème de dépendance,MB,TD_tu_s18_17h15 TD_m_s18_9h30,TD-AMN-MB-3 TD-AMN-MB-3,18,,3,Mardi Lundi,,AMN,
