ID,Constraint type,Instructors,Slots,Courses,Week,Rooms,Group,Days,Departement,Module
38457,Le cours doit avoir un professeur,MB ,TD_tu_s17_8h ,TD-AMN-MB-3 ,17 ,,3 ,Mardi ,,AMN ,
38458,Le cours doit avoir un professeur,MB ,TD_th_s17_9h30 ,TD-AMN-MB-3 ,17 ,,3 ,Jeudi ,,AMN ,
38459,Le cours doit avoir un professeur,MB ,TD_f_s17_14h15 ,TD-AMN-MB-3 ,17 ,,3 ,Vendredi ,,AMN ,
38460,Le cours doit avoir un professeur,MB ,TD_w_s17_8h ,TD-AMN-MB-3 ,17 ,,3 ,Mercredi ,,AMN ,
38461,Le cours doit avoir un professeur,MB ,TD_f_s17_9h30 ,TD-AMN-MB-3 ,17 ,,3 ,Vendredi ,,AMN ,
38463,Le cours doit avoir un professeur,MB ,TD_f_s17_8h ,TD-AMN-MB-3 ,17 ,,3 ,Vendredi ,,AMN ,
38464,Le cours doit avoir un professeur,MB ,TD_m_s17_8h ,TD-AMN-MB-3 ,17 ,,3 ,Lundi ,,AMN ,
38465,Le cours doit avoir un professeur,MB ,TD_w_s17_11h ,TD-AMN-MB-3 ,17 ,,3 ,Mercredi ,,AMN ,
38466,Le cours doit avoir un professeur,MB ,TD_w_s17_17h15 ,TD-AMN-MB-3 ,17 ,,3 ,Mercredi ,,AMN ,
38467,Le cours doit avoir un professeur,MB ,TD_f_s17_15h45 ,TD-AMN-MB-3 ,17 ,,3 ,Vendredi ,,AMN ,
38468,Le cours doit avoir un professeur,MB ,TD_th_s17_15h45 ,TD-AMN-MB-3 ,17 ,,3 ,Jeudi ,,AMN ,
38469,Le cours doit avoir un professeur,MB ,TD_th_s17_8h ,TD-AMN-MB-3 ,17 ,,3 ,Jeudi ,,AMN ,
38470,Le cours doit avoir un professeur,MB ,TD_m_s17_14h15 ,TD-AMN-MB-3 ,17 ,,3 ,Lundi ,,AMN ,
38473,Le cours doit avoir un professeur,MB ,TD_m_s17_11h ,TD-AMN-MB-3 ,17 ,,3 ,Lundi ,,AMN ,
38474,Le cours doit avoir un professeur,MB ,TD_w_s17_9h30 ,TD-AMN-MB-3 ,17 ,,3 ,Mercredi ,,AMN ,
38475,Le cours doit avoir un professeur,MB ,TD_w_s17_14h15 ,TD-AMN-MB-3 ,17 ,,3 ,Mercredi ,,AMN ,
38476,Le cours doit avoir un professeur,MB ,TD_tu_s17_15h45 ,TD-AMN-MB-3 ,17 ,,3 ,Mardi ,,AMN ,
38477,Le cours doit avoir un professeur,MB ,TD_tu_s17_14h15 ,TD-AMN-MB-3 ,17 ,,3 ,Mardi ,,AMN ,
38478,Le cours doit avoir un professeur,MB ,TD_m_s17_15h45 ,TD-AMN-MB-3 ,17 ,,3 ,Lundi ,,AMN ,
38479,Le cours doit avoir un professeur,MB ,TD_m_s17_9h30 ,TD-AMN-MB-3 ,17 ,,3 ,Lundi ,,AMN ,
38480,Le cours doit avoir un professeur,MB ,TD_tu_s17_9h30 ,TD-AMN-MB-3 ,17 ,,3 ,Mardi ,,AMN ,
38481,Le cours doit avoir un professeur,MB ,TD_m_s17_17h15 ,TD-AMN-MB-3 ,17 ,,3 ,Lundi ,,AMN ,
38484,Le cours doit avoir un professeur,MB ,TD_f_s17_11h ,TD-AMN-MB-3 ,17 ,,3 ,Vendredi ,,AMN ,
38485,Le cours doit avoir un professeur,MB ,TD_th_s17_14h15 ,TD-AMN-MB-3 ,17 ,,3 ,Jeudi ,,AMN ,
38486,Le cours doit avoir un professeur,MB ,TD_tu_s17_11h ,TD-AMN-MB-3 ,17 ,,3 ,Mardi ,,AMN ,
38487,Le cours doit avoir un professeur,MB ,TD_tu_s17_8h ,TD-AMN-MB-3 ,17 ,,3 ,Mardi ,,AMN ,
38488,Le cours doit avoir un professeur,MB ,TD_th_s17_9h30 ,TD-AMN-MB-3 ,17 ,,3 ,Jeudi ,,AMN ,
38489,Le cours doit avoir un professeur,MB ,TD_f_s17_14h15 ,TD-AMN-MB-3 ,17 ,,3 ,Vendredi ,,AMN ,
38490,Le cours doit avoir un professeur,MB ,TD_w_s17_8h ,TD-AMN-MB-3 ,17 ,,3 ,Mercredi ,,AMN ,
38491,Le cours doit avoir un professeur,MB ,TD_f_s17_9h30 ,TD-AMN-MB-3 ,17 ,,3 ,Vendredi ,,AMN ,
38492,Le cours doit avoir un professeur,MB ,TD_th_s17_17h15 ,TD-AMN-MB-3 ,17 ,,3 ,Jeudi ,,AMN ,
38493,Le cours doit avoir un professeur,MB ,TD_f_s17_8h ,TD-AMN-MB-3 ,17 ,,3 ,Vendredi ,,AMN ,
38494,Le cours doit avoir un professeur,MB ,TD_m_s17_8h ,TD-AMN-MB-3 ,17 ,,3 ,Lundi ,,AMN ,
38495,Le cours doit avoir un professeur,MB ,TD_w_s17_11h ,TD-AMN-MB-3 ,17 ,,3 ,Mercredi ,,AMN ,
38496,Le cours doit avoir un professeur,MB ,TD_w_s17_17h15 ,TD-AMN-MB-3 ,17 ,,3 ,Mercredi ,,AMN ,
38497,Le cours doit avoir un professeur,MB ,TD_f_s17_15h45 ,TD-AMN-MB-3 ,17 ,,3 ,Vendredi ,,AMN ,
38498,Le cours doit avoir un professeur,MB ,TD_th_s17_15h45 ,TD-AMN-MB-3 ,17 ,,3 ,Jeudi ,,AMN ,
38500,Le cours doit avoir un professeur,MB ,TD_m_s17_14h15 ,TD-AMN-MB-3 ,17 ,,3 ,Lundi ,,AMN ,
38503,Le cours doit avoir un professeur,MB ,TD_m_s17_11h ,TD-AMN-MB-3 ,17 ,,3 ,Lundi ,,AMN ,
38504,Le cours doit avoir un professeur,MB ,TD_w_s17_9h30 ,TD-AMN-MB-3 ,17 ,,3 ,Mercredi ,,AMN ,
38505,Le cours doit avoir un professeur,MB ,TD_w_s17_14h15 ,TD-AMN-MB-3 ,17 ,,3 ,Mercredi ,,AMN ,
38506,Le cours doit avoir un professeur,MB ,TD_tu_s17_15h45 ,TD-AMN-MB-3 ,17 ,,3 ,Mardi ,,AMN ,
38507,Le cours doit avoir un professeur,MB ,TD_tu_s17_14h15 ,TD-AMN-MB-3 ,17 ,,3 ,Mardi ,,AMN ,
38508,Le cours doit avoir un professeur,MB ,TD_m_s17_15h45 ,TD-AMN-MB-3 ,17 ,,3 ,Lundi ,,AMN ,
38509,Le cours doit avoir un professeur,MB ,TD_m_s17_9h30 ,TD-AMN-MB-3 ,17 ,,3 ,Lundi ,,AMN ,
38510,Le cours doit avoir un professeur,MB ,TD_tu_s17_9h30 ,TD-AMN-MB-3 ,17 ,,3 ,Mardi ,,AMN ,
38511,Le cours doit avoir un professeur,MB ,TD_m_s17_17h15 ,TD-AMN-MB-3 ,17 ,,3 ,Lundi ,,AMN ,
42864,Simul slot,MB ,CM_w_s17_11h ,,17 ,,,Mercredi ,,,
46672,Pas de professeur disponible,MB ,CM_f_s17_15h45 ,,17 ,,,Vendredi ,,,
46676,Pas de professeur disponible,MB ,TD_tu_s17_17h15 ,,17 ,,,Mardi ,,,
46680,Pas de professeur disponible,MB ,TP_f_s17_8h ,,17 ,,,Vendredi ,,,
46683,Pas de professeur disponible,MB ,DS_m_s17_15h45 ,,17 ,,,Lundi ,,,
46685,Pas de professeur disponible,MB ,TD_tu_s17_8h ,,17 ,,,Mardi ,,,
46686,Pas de professeur disponible,MB ,TP_tu_s17_14h15 ,,17 ,,,Mardi ,,,
46687,Pas de professeur disponible,MB ,TD_th_s17_9h30 ,,17 ,,,Jeudi ,,,
46689,Pas de professeur disponible,MB ,CM_w_s17_17h15 ,,17 ,,,Mercredi ,,,
46690,Pas de professeur disponible,MB ,TD_f_s17_14h15 ,,17 ,,,Vendredi ,,,
46692,Pas de professeur disponible,MB ,DS_w_s17_15h45 ,,17 ,,,Mercredi ,,,
46693,Pas de professeur disponible,MB ,TD_w_s17_8h ,,17 ,,,Mercredi ,,,
46695,Pas de professeur disponible,MB ,CM_w_s17_9h30 ,,17 ,,,Mercredi ,,,
46696,Pas de professeur disponible,MB ,TD_f_s17_9h30 ,,17 ,,,Vendredi ,,,
46697,Pas de professeur disponible,MB ,DS_f_s17_8h ,,17 ,,,Vendredi ,,,
46698,Pas de professeur disponible,MB ,CM_th_s17_9h30 ,,17 ,,,Jeudi ,,,
46699,Pas de professeur disponible,MB ,TD_th_s17_17h15 ,,17 ,,,Jeudi ,,,
46700,Pas de professeur disponible,MB ,TP_m_s17_11h ,,17 ,,,Lundi ,,,
46703,Pas de professeur disponible,MB ,TP_m_s17_15h45 ,,17 ,,,Lundi ,,,
46745,Pas de professeur disponible,MB ,DS_m_s17_9h30 ,,17 ,,,Lundi ,,,
46748,Pas de professeur disponible,MB ,TP_f_s17_9h30 ,,17 ,,,Vendredi ,,,
46760,Pas de professeur disponible,MB ,TD_w_s17_17h15 ,,17 ,,,Mercredi ,,,
46771,Pas de professeur disponible,MB ,DS_tu_s17_9h30 ,,17 ,,,Mardi ,,,
46776,Pas de professeur disponible,MB ,TP_f_s17_15h45 ,,17 ,,,Vendredi ,,,
46780,Pas de professeur disponible,MB ,CM_w_s17_15h45 ,,17 ,,,Mercredi ,,,
46785,Pas de professeur disponible,MB ,DS_tu_s17_8h ,,17 ,,,Mardi ,,,
46788,Pas de professeur disponible,MB ,TP_f_s17_11h ,,17 ,,,Vendredi ,,,
46791,Pas de professeur disponible,MB ,TD_tu_s17_9h30 ,,17 ,,,Mardi ,,,
9204,Pas plus d'un cours par créneau,,TD_f_s17_8h ,,17 ,,3A ,Vendredi ,,,
9970,Le cours doit être placé,MB ,,TD-AMN-MB-3 ,,,3 ,,,AMN ,
9971,Le cours doit être placé,MB ,,TD-AMN-MB-3 ,,,3 ,,,AMN ,
