ID,Constraint type,Instructors,Slots,Courses,Week,Rooms,Group,Days,Departement,Module
11308,Problème de dépendance,TG ,TD_m_s18_17h15  TD_th_s18_15h45 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Lundi  Jeudi ,,COO ,
11309,Problème de dépendance,TG ,TD_m_s18_17h15  TD_w_s18_11h ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Lundi  Mercredi ,,COO ,
11312,Problème de dépendance,TG ,TD_m_s18_17h15  TD_w_s18_14h15 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Lundi  Mercredi ,,COO ,
11317,Problème de dépendance,TG ,TD_m_s18_17h15  TD_tu_s18_17h15 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Lundi  Mardi ,,COO ,
11318,Problème de dépendance,TG ,TD_m_s18_17h15  TD_tu_s18_9h30 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Lundi  Mardi ,,COO ,
11319,Problème de dépendance,TG ,TD_m_s18_17h15  TD_w_s18_15h45 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Lundi  Mercredi ,,COO ,
11356,Problème de dépendance,TG ,TD_th_s18_9h30  TD_th_s18_17h15 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi ,,COO ,
11357,Problème de dépendance,TG ,TD_th_s18_9h30  TD_w_s18_9h30 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi  Mercredi ,,COO ,
11360,Problème de dépendance,TG ,TD_th_s18_9h30  TD_tu_s18_11h ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi  Mardi ,,COO ,
11364,Problème de dépendance,TG ,TD_th_s18_9h30  TD_tu_s18_9h30 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi  Mardi ,,COO ,
11365,Problème de dépendance,TG ,TD_th_s18_9h30  TD_w_s18_15h45 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi  Mercredi ,,COO ,
11366,Problème de dépendance,TG ,TD_tu_s18_15h45  TD_w_s18_8h ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mardi  Mercredi ,,COO ,
11426,Problème de dépendance,TG ,TD_th_s18_14h15  TD_th_s18_17h15 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi ,,COO ,
11429,Problème de dépendance,TG ,TD_th_s18_14h15  TD_w_s18_17h15 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi  Mercredi ,,COO ,
11434,Problème de dépendance,TG ,TD_th_s18_14h15  TD_tu_s18_9h30 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi  Mardi ,,COO ,
11435,Problème de dépendance,TG ,TD_th_s18_14h15  TD_w_s18_15h45 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi  Mercredi ,,COO ,
11436,Problème de dépendance,TG ,TD_th_s18_15h45  TD_w_s18_8h ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi  Mercredi ,,COO ,
11449,Problème de dépendance,TG ,TD_th_s18_15h45  TD_w_s18_11h ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi  Mercredi ,,COO ,
11450,Problème de dépendance,TG ,TD_th_s18_15h45  TD_w_s18_9h30 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi  Mercredi ,,COO ,
11453,Problème de dépendance,TG ,TD_th_s18_15h45  TD_tu_s18_11h ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi  Mardi ,,COO ,
11457,Problème de dépendance,TG ,TD_th_s18_15h45  TD_tu_s18_9h30 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi  Mardi ,,COO ,
11458,Problème de dépendance,TG ,TD_th_s18_15h45  TD_w_s18_15h45 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Jeudi  Mercredi ,,COO ,
11459,Problème de dépendance,TG ,TD_w_s18_11h  TD_w_s18_8h ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mercredi ,,COO ,
11518,Problème de dépendance,TG ,TD_w_s18_9h30  TD_th_s18_14h15 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mercredi  Jeudi ,,COO ,
11519,Problème de dépendance,TG ,TD_w_s18_9h30  TD_th_s18_15h45 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mercredi  Jeudi ,,COO ,
11526,Problème de dépendance,TG ,TD_w_s18_9h30  TD_tu_s18_8h ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mercredi  Mardi ,,COO ,
11527,Problème de dépendance,TG ,TD_w_s18_9h30  TD_tu_s18_17h15 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mercredi  Mardi ,,COO ,
11528,Problème de dépendance,TG ,TD_w_s18_9h30  TD_tu_s18_9h30 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mercredi  Mardi ,,COO ,
11634,Problème de dépendance,TG ,TD_tu_s18_8h  TD_th_s18_11h ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mardi  Jeudi ,,COO ,
11635,Problème de dépendance,TG ,TD_tu_s18_8h  TD_th_s18_14h15 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mardi  Jeudi ,,COO ,
11638,Problème de dépendance,TG ,TD_tu_s18_8h  TD_th_s18_17h15 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mardi  Jeudi ,,COO ,
11643,Problème de dépendance,TG ,TD_tu_s18_8h  TD_tu_s18_14h15 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mardi ,,COO ,
11644,Problème de dépendance,TG ,TD_tu_s18_8h  TD_tu_s18_8h ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mardi ,,COO ,
11645,Problème de dépendance,TG ,TD_tu_s18_8h  TD_tu_s18_17h15 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mardi ,,COO ,
11658,Problème de dépendance,TG ,TD_tu_s18_17h15  TD_th_s18_14h15 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mardi  Jeudi ,,COO ,
11659,Problème de dépendance,TG ,TD_tu_s18_17h15  TD_th_s18_15h45 ,TD-COO-TG-2 (44270)  TD-COO-TG-2 (44271) ,18 ,,2 ,Mardi  Jeudi ,,COO ,
