ID,Constraint type,Instructors,Slots,Courses,Week,Rooms,Group,Days,Departement,Module
26542,Problème de dépendance,MB,TD_f_s17_8h TD_m_s17_15h45,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Vendredi Lundi,,AMN,
26545,Problème de dépendance,MB,TD_f_s17_8h TD_m_s17_8h,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Vendredi Lundi,,AMN,
26549,Problème de dépendance,MB,TD_f_s17_8h TD_th_s17_15h45,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Vendredi Jeudi,,AMN,
26556,Problème de dépendance,MB,TD_f_s17_8h TD_f_s17_14h15,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Vendredi,,AMN,
26559,Problème de dépendance,MB,TD_f_s17_8h TD_m_s17_9h30,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Vendredi Lundi,,AMN,
26585,Problème de dépendance,MB,TD_tu_s17_15h45 TD_tu_s17_14h15,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Mardi,,AMN,
26593,Problème de dépendance,MB,TD_tu_s17_17h15 TD_tu_s17_17h15,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Mardi,,AMN,
26601,Problème de dépendance,MB,TD_tu_s17_17h15 TD_tu_s17_9h30,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Mardi,,AMN,
26610,Problème de dépendance,MB,TD_th_s17_9h30 TD_tu_s17_8h,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Jeudi Mardi,,AMN,
26613,Problème de dépendance,MB,TD_th_s17_9h30 TD_tu_s17_11h,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Jeudi Mardi,,AMN,
26866,Problème de dépendance,MB,TD_w_s17_9h30 TD_m_s17_15h45,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Mercredi Lundi,,AMN,
26869,Problème de dépendance,MB,TD_w_s17_9h30 TD_tu_s17_17h15,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Mercredi Mardi,,AMN,
26880,Problème de dépendance,MB,TD_w_s17_9h30 TD_w_s17_17h15,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Mercredi,,AMN,
26883,Problème de dépendance,MB,TD_w_s17_9h30 TD_w_s17_14h15,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Mercredi,,AMN,
26998,Problème de dépendance,MB,TD_f_s17_17h15 TD_th_s17_8h,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Vendredi Jeudi,,AMN,
27001,Problème de dépendance,MB,TD_f_s17_17h15 TD_f_s17_17h15,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Vendredi,,AMN,
27005,Problème de dépendance,MB,TD_w_s17_14h15 TD_m_s17_8h,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Mercredi Lundi,,AMN,
27015,Problème de dépendance,MB,TD_w_s17_14h15 TD_m_s17_17h15,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Mercredi Lundi,,AMN,
27034,Problème de dépendance,MB,TD_f_s17_9h30 TD_tu_s17_11h,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Vendredi Mardi,,AMN,
27037,Problème de dépendance,MB,TD_f_s17_9h30 TD_tu_s17_14h15,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Vendredi Mardi,,AMN,
27041,Problème de dépendance,MB,TD_f_s17_9h30 TD_w_s17_15h45,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Vendredi Mercredi,,AMN,
27048,Problème de dépendance,MB,TD_f_s17_9h30 TD_th_s17_11h,TD-AMN-MB-3 (44199) TD-AMN-MB-3 (44200),17,,3,Vendredi Jeudi,,AMN,
38452,Le cours doit avoir un professeur,MB,TD_m_s17_15h45,TD-AMN-MB-3,17,,3,Lundi,,AMN,
38454,Le cours doit avoir un professeur,MB,TD_f_s17_8h,TD-AMN-MB-3,17,,3,Vendredi,,AMN,
38456,Le cours doit avoir un professeur,MB,TD_tu_s17_15h45,TD-AMN-MB-3,17,,3,Mardi,,AMN,
38457,Le cours doit avoir un professeur,MB,TD_tu_s17_17h15,TD-AMN-MB-3,17,,3,Mardi,,AMN,
38458,Le cours doit avoir un professeur,MB,TD_th_s17_9h30,TD-AMN-MB-3,17,,3,Jeudi,,AMN,
38459,Le cours doit avoir un professeur,MB,TD_th_s17_15h45,TD-AMN-MB-3,17,,3,Jeudi,,AMN,
38460,Le cours doit avoir un professeur,MB,TD_th_s17_17h15,TD-AMN-MB-3,17,,3,Jeudi,,AMN,
38461,Le cours doit avoir un professeur,MB,TD_tu_s17_8h,TD-AMN-MB-3,17,,3,Mardi,,AMN,
38462,Le cours doit avoir un professeur,MB,TD_m_s17_14h15,TD-AMN-MB-3,17,,3,Lundi,,AMN,
38463,Le cours doit avoir un professeur,MB,TD_w_s17_8h,TD-AMN-MB-3,17,,3,Mercredi,,AMN,
38464,Le cours doit avoir un professeur,MB,TD_tu_s17_11h,TD-AMN-MB-3,17,,3,Mardi,,AMN,
38465,Le cours doit avoir un professeur,MB,TD_f_s17_15h45,TD-AMN-MB-3,17,,3,Vendredi,,AMN,
38466,Le cours doit avoir un professeur,MB,TD_f_s17_14h15,TD-AMN-MB-3,17,,3,Vendredi,,AMN,
38467,Le cours doit avoir un professeur,MB,TD_tu_s17_14h15,TD-AMN-MB-3,17,,3,Mardi,,AMN,
38468,Le cours doit avoir un professeur,MB,TD_w_s17_11h,TD-AMN-MB-3,17,,3,Mercredi,,AMN,
38470,Le cours doit avoir un professeur,MB,TD_m_s17_17h15,TD-AMN-MB-3,17,,3,Lundi,,AMN,
38471,Le cours doit avoir un professeur,MB,TD_w_s17_15h45,TD-AMN-MB-3,17,,3,Mercredi,,AMN,
38472,Le cours doit avoir un professeur,MB,TD_m_s17_11h,TD-AMN-MB-3,17,,3,Lundi,,AMN,
38473,Le cours doit avoir un professeur,MB,TD_w_s17_17h15,TD-AMN-MB-3,17,,3,Mercredi,,AMN,
38474,Le cours doit avoir un professeur,MB,TD_w_s17_9h30,TD-AMN-MB-3,17,,3,Mercredi,,AMN,
38475,Le cours doit avoir un professeur,MB,TD_tu_s17_9h30,TD-AMN-MB-3,17,,3,Mardi,,AMN,
38476,Le cours doit avoir un professeur,MB,TD_th_s17_8h,TD-AMN-MB-3,17,,3,Jeudi,,AMN,
38477,Le cours doit avoir un professeur,MB,TD_f_s17_11h,TD-AMN-MB-3,17,,3,Vendredi,,AMN,
38479,Le cours doit avoir un professeur,MB,TD_f_s17_17h15,TD-AMN-MB-3,17,,3,Vendredi,,AMN,
38480,Le cours doit avoir un professeur,MB,TD_w_s17_14h15,TD-AMN-MB-3,17,,3,Mercredi,,AMN,
38482,Le cours doit avoir un professeur,MB,TD_m_s17_15h45,TD-AMN-MB-3,17,,3,Lundi,,AMN,
38484,Le cours doit avoir un professeur,MB,TD_f_s17_8h,TD-AMN-MB-3,17,,3,Vendredi,,AMN,
38485,Le cours doit avoir un professeur,MB,TD_m_s17_8h,TD-AMN-MB-3,17,,3,Lundi,,AMN,
38486,Le cours doit avoir un professeur,MB,TD_tu_s17_15h45,TD-AMN-MB-3,17,,3,Mardi,,AMN,
38487,Le cours doit avoir un professeur,MB,TD_tu_s17_17h15,TD-AMN-MB-3,17,,3,Mardi,,AMN,
38488,Le cours doit avoir un professeur,MB,TD_th_s17_9h30,TD-AMN-MB-3,17,,3,Jeudi,,AMN,
38489,Le cours doit avoir un professeur,MB,TD_th_s17_15h45,TD-AMN-MB-3,17,,3,Jeudi,,AMN,
38490,Le cours doit avoir un professeur,MB,TD_th_s17_17h15,TD-AMN-MB-3,17,,3,Jeudi,,AMN,
38492,Le cours doit avoir un professeur,MB,TD_m_s17_14h15,TD-AMN-MB-3,17,,3,Lundi,,AMN,
38493,Le cours doit avoir un professeur,MB,TD_w_s17_8h,TD-AMN-MB-3,17,,3,Mercredi,,AMN,
38494,Le cours doit avoir un professeur,MB,TD_tu_s17_11h,TD-AMN-MB-3,17,,3,Mardi,,AMN,
38495,Le cours doit avoir un professeur,MB,TD_f_s17_15h45,TD-AMN-MB-3,17,,3,Vendredi,,AMN,
38496,Le cours doit avoir un professeur,MB,TD_f_s17_14h15,TD-AMN-MB-3,17,,3,Vendredi,,AMN,
38497,Le cours doit avoir un professeur,MB,TD_tu_s17_14h15,TD-AMN-MB-3,17,,3,Mardi,,AMN,
38498,Le cours doit avoir un professeur,MB,TD_w_s17_11h,TD-AMN-MB-3,17,,3,Mercredi,,AMN,
38500,Le cours doit avoir un professeur,MB,TD_m_s17_17h15,TD-AMN-MB-3,17,,3,Lundi,,AMN,
38501,Le cours doit avoir un professeur,MB,TD_w_s17_15h45,TD-AMN-MB-3,17,,3,Mercredi,,AMN,
38502,Le cours doit avoir un professeur,MB,TD_m_s17_11h,TD-AMN-MB-3,17,,3,Lundi,,AMN,
38503,Le cours doit avoir un professeur,MB,TD_w_s17_17h15,TD-AMN-MB-3,17,,3,Mercredi,,AMN,
38504,Le cours doit avoir un professeur,MB,TD_w_s17_9h30,TD-AMN-MB-3,17,,3,Mercredi,,AMN,
38505,Le cours doit avoir un professeur,MB,TD_tu_s17_9h30,TD-AMN-MB-3,17,,3,Mardi,,AMN,
38506,Le cours doit avoir un professeur,MB,TD_th_s17_8h,TD-AMN-MB-3,17,,3,Jeudi,,AMN,
38507,Le cours doit avoir un professeur,MB,TD_f_s17_11h,TD-AMN-MB-3,17,,3,Vendredi,,AMN,
38509,Le cours doit avoir un professeur,MB,TD_f_s17_17h15,TD-AMN-MB-3,17,,3,Vendredi,,AMN,
38510,Le cours doit avoir un professeur,MB,TD_w_s17_14h15,TD-AMN-MB-3,17,,3,Mercredi,,AMN,
46692,Pas de professeur disponible,MB,TP_m_s17_8h,,17,,,Lundi,,,
46698,Pas de professeur disponible,MB,CM_tu_s17_14h15,,17,,,Mardi,,,
46709,Pas de professeur disponible,MB,TP_w_s17_8h,,17,,,Mercredi,,,
46716,Pas de professeur disponible,MB,DS_m_s17_15h45,,17,,,Lundi,,,
46719,Pas de professeur disponible,MB,CM_th_s17_14h15,,17,,,Jeudi,,,
46722,Pas de professeur disponible,MB,CM_th_s17_17h15,,17,,,Jeudi,,,
46724,Pas de professeur disponible,MB,CM_tu_s17_8h,,17,,,Mardi,,,
46725,Pas de professeur disponible,MB,DS_th_s17_8h,,17,,,Jeudi,,,
46726,Pas de professeur disponible,MB,CM_f_s17_9h30,,17,,,Vendredi,,,
46731,Pas de professeur disponible,MB,CM_th_s17_15h45,,17,,,Jeudi,,,
46734,Pas de professeur disponible,MB,TD_f_s17_9h30,,17,,,Vendredi,,,
46739,Pas de professeur disponible,MB,TP_th_s17_15h45,,17,,,Jeudi,,,
46741,Pas de professeur disponible,MB,DS_f_s17_9h30,,17,,,Vendredi,,,
46742,Pas de professeur disponible,MB,DS_w_s17_9h30,,17,,,Mercredi,,,
46744,Pas de professeur disponible,MB,TD_m_s17_8h,,17,,,Lundi,,,
46747,Pas de professeur disponible,MB,DS_w_s17_14h15,,17,,,Mercredi,,,
46751,Pas de professeur disponible,MB,CM_m_s17_9h30,,17,,,Lundi,,,
46753,Pas de professeur disponible,MB,DS_m_s17_14h15,,17,,,Lundi,,,
46755,Pas de professeur disponible,MB,DS_m_s17_9h30,,17,,,Lundi,,,
46759,Pas de professeur disponible,MB,TD_m_s17_14h15,,17,,,Lundi,,,
46761,Pas de professeur disponible,MB,DS_tu_s17_11h,,17,,,Mardi,,,
