ID,Constraint type,Instructors,Slots,Courses,Week,Rooms,Group,Days,Departement,Module
16752,Problème de dépendance,JD ,TD_m_s5_8h  TD_tu_s5_9h30 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Lundi  Mardi ,,CDAM ,
16762,Problème de dépendance,JD ,TD_m_s5_8h  TD_w_s5_17h15 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Lundi  Mercredi ,,CDAM ,
16766,Problème de dépendance,JD ,TD_m_s5_8h  TD_th_s5_11h ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Lundi  Jeudi ,,CDAM ,
16771,Problème de dépendance,JD ,TD_f_s5_11h  TD_f_s5_14h15 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Vendredi ,,CDAM ,
17017,Problème de dépendance,JD ,TD_tu_s5_8h  TD_tu_s5_8h ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mardi ,,CDAM ,
17020,Problème de dépendance,JD ,TD_tu_s5_8h  TD_tu_s5_15h45 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mardi ,,CDAM ,
17026,Problème de dépendance,JD ,TD_tu_s5_8h  TD_w_s5_15h45 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mardi  Mercredi ,,CDAM ,
17030,Problème de dépendance,JD ,TD_tu_s5_8h  TD_th_s5_9h30 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mardi  Jeudi ,,CDAM ,
17035,Problème de dépendance,JD ,TD_tu_s5_8h  TD_th_s5_15h45 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mardi  Jeudi ,,CDAM ,
17075,Problème de dépendance,JD ,TD_tu_s5_11h  TD_tu_s5_8h ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mardi ,,CDAM ,
17079,Problème de dépendance,JD ,TD_tu_s5_11h  TD_tu_s5_15h45 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mardi ,,CDAM ,
17085,Problème de dépendance,JD ,TD_tu_s5_11h  TD_w_s5_15h45 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mardi  Mercredi ,,CDAM ,
17089,Problème de dépendance,JD ,TD_tu_s5_11h  TD_th_s5_9h30 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mardi  Jeudi ,,CDAM ,
17094,Problème de dépendance,JD ,TD_tu_s5_11h  TD_th_s5_15h45 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mardi  Jeudi ,,CDAM ,
17135,Problème de dépendance,JD ,TD_tu_s5_15h45  TD_tu_s5_9h30 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mardi ,,CDAM ,
17144,Problème de dépendance,JD ,TD_tu_s5_15h45  TD_w_s5_17h15 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mardi  Mercredi ,,CDAM ,
17148,Problème de dépendance,JD ,TD_tu_s5_15h45  TD_th_s5_11h ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mardi  Jeudi ,,CDAM ,
17153,Problème de dépendance,JD ,TD_tu_s5_17h15  TD_f_s5_14h15 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mardi  Vendredi ,,CDAM ,
17311,Problème de dépendance,JD ,TD_w_s5_15h45  TD_tu_s5_9h30 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mercredi  Mardi ,,CDAM ,
17315,Problème de dépendance,JD ,TD_w_s5_15h45  TD_tu_s5_17h15 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mercredi  Mardi ,,CDAM ,
17325,Problème de dépendance,JD ,TD_w_s5_15h45  TD_f_s5_9h30 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mercredi  Vendredi ,,CDAM ,
17330,Problème de dépendance,JD ,TD_w_s5_17h15  TD_m_s5_8h ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Mercredi  Lundi ,,CDAM ,
17370,Problème de dépendance,JD ,TD_f_s5_8h  TD_tu_s5_9h30 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Vendredi  Mardi ,,CDAM ,
17373,Problème de dépendance,JD ,TD_f_s5_8h  TD_tu_s5_15h45 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Vendredi  Mardi ,,CDAM ,
17379,Problème de dépendance,JD ,TD_f_s5_8h  TD_w_s5_15h45 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Vendredi  Mercredi ,,CDAM ,
17383,Problème de dépendance,JD ,TD_f_s5_8h  TD_th_s5_9h30 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Vendredi  Jeudi ,,CDAM ,
17388,Problème de dépendance,JD ,TD_th_s5_8h  TD_f_s5_14h15 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Jeudi  Vendredi ,,CDAM ,
17428,Problème de dépendance,JD ,TD_th_s5_9h30  TD_tu_s5_9h30 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Jeudi  Mardi ,,CDAM ,
17432,Problème de dépendance,JD ,TD_th_s5_9h30  TD_tu_s5_17h15 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Jeudi  Mardi ,,CDAM ,
17438,Problème de dépendance,JD ,TD_th_s5_9h30  TD_w_s5_17h15 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Jeudi  Mercredi ,,CDAM ,
17446,Problème de dépendance,JD ,TD_th_s5_11h  TD_f_s5_14h15 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Jeudi  Vendredi ,,CDAM ,
17573,Problème de dépendance,JD ,TD_th_s5_15h45  TD_m_s5_14h15 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Jeudi  Lundi ,,CDAM ,
17577,Problème de dépendance,JD ,TD_th_s5_15h45  TD_tu_s5_14h15 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Jeudi  Mardi ,,CDAM ,
17583,Problème de dépendance,JD ,TD_th_s5_15h45  TD_w_s5_14h15 ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Jeudi  Mercredi ,,CDAM ,
17587,Problème de dépendance,JD ,TD_th_s5_15h45  TD_th_s5_8h ,TD-CDAM-JD-2 (44881)  TD-CDAM-JD-2 (44882) ,5 ,,2 ,Jeudi ,,CDAM ,
