(17036) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_th_s5_15h45, TD_w_s5_14h15] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Jeudi, Mercredi] ; pour le module CDAM ; doit être respectée.
(17040) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_th_s5_15h45, TD_m_s5_8h] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Jeudi, Lundi] ; pour le module CDAM ; doit être respectée.
(17045) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_th_s5_15h45, TD_w_s5_8h] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Jeudi, Mercredi] ; pour le module CDAM ; doit être respectée.
(17049) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_th_s5_15h45, TD_tu_s5_9h30] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Jeudi, Mardi] ; pour le module CDAM ; doit être respectée.
(17051) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_th_s5_15h45, TD_m_s5_17h15] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Jeudi, Lundi] ; pour le module CDAM ; doit être respectée.
(17052) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_th_s5_15h45, TD_th_s5_8h] ; pour la semaine 5 ; pour le groupe 2 ; pour le jour Jeudi ; pour le module CDAM ; doit être respectée.
(17059) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_th_s5_15h45, TD_f_s5_14h15] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Jeudi, Vendredi] ; pour le module CDAM ; doit être respectée.
(17060) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_th_s5_15h45, TD_f_s5_8h] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Jeudi, Vendredi] ; pour le module CDAM ; doit être respectée.
(17063) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_th_s5_15h45, TD_tu_s5_8h] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Jeudi, Mardi] ; pour le module CDAM ; doit être respectée.
(17064) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_th_s5_15h45, TD_tu_s5_15h45] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Jeudi, Mardi] ; pour le module CDAM ; doit être respectée.
(17124) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_tu_s5_9h30, TD_w_s5_14h15] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Mardi, Mercredi] ; pour le module CDAM ; doit être respectée.
(17129) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_tu_s5_9h30, TD_m_s5_8h] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Mardi, Lundi] ; pour le module CDAM ; doit être respectée.
(17133) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_tu_s5_9h30, TD_w_s5_8h] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Mardi, Mercredi] ; pour le module CDAM ; doit être respectée.
(17134) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_tu_s5_9h30, TD_th_s5_15h45] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Mardi, Jeudi] ; pour le module CDAM ; doit être respectée.
(17137) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_tu_s5_9h30, TD_tu_s5_9h30] ; pour la semaine 5 ; pour le groupe 2 ; pour le jour Mardi ; pour le module CDAM ; doit être respectée.
(17139) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_tu_s5_9h30, TD_m_s5_17h15] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Mardi, Lundi] ; pour le module CDAM ; doit être respectée.
(17140) La contrainte de type "Problème de dépendance" ; pour le professeur JD ; pour les cours [TD-CDAM-JD-2 (44881), TD-CDAM-JD-2 (44882)] ; pour les slots [TD_tu_s5_9h30, TD_th_s5_8h] ; pour la semaine 5 ; pour le groupe 2 ; pour les jours [Mardi, Jeudi] ; pour le module CDAM ; doit être respectée.
