ID,Constraint type,Instructors,Slots,Courses,Week,Rooms,Group,Days,Departement,Module
17211,Problème de dépendance,JD,TD_m_s5_8h TD_th_s5_17h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Lundi Jeudi,,CDAM,
17212,Problème de dépendance,JD,TD_m_s5_8h TD_th_s5_11h,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Lundi Jeudi,,CDAM,
17278,Problème de dépendance,JD,TD_m_s5_17h15 TD_tu_s5_9h30,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Lundi Mardi,,CDAM,
17280,Problème de dépendance,JD,TD_m_s5_17h15 TD_w_s5_14h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Lundi Mercredi,,CDAM,
17281,Problème de dépendance,JD,TD_m_s5_17h15 TD_m_s5_14h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Lundi,,CDAM,
17286,Problème de dépendance,JD,TD_m_s5_17h15 TD_m_s5_17h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Lundi,,CDAM,
17288,Problème de dépendance,JD,TD_m_s5_17h15 TD_w_s5_17h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Lundi Mercredi,,CDAM,
17292,Problème de dépendance,JD,TD_m_s5_17h15 TD_f_s5_11h,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Lundi Vendredi,,CDAM,
17299,Problème de dépendance,JD,TD_tu_s5_17h15 TD_th_s5_17h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mardi Jeudi,,CDAM,
17300,Problème de dépendance,JD,TD_tu_s5_17h15 TD_th_s5_11h,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mardi Jeudi,,CDAM,
17338,Problème de dépendance,JD,TD_w_s5_17h15 TD_tu_s5_9h30,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi Mardi,,CDAM,
17340,Problème de dépendance,JD,TD_w_s5_17h15 TD_w_s5_14h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi,,CDAM,
17341,Problème de dépendance,JD,TD_w_s5_17h15 TD_m_s5_14h15,TD-CDAM-JD-2 (44881) TD-CDAM-JD-2 (44882),5,,2,Mercredi Lundi,,CDAM,
